RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes
v3.1,DEL-12-04-A001,PKG-12,DEL-12-04,Secret and private-library handling,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,PACKAGE,PKG-12,,PKG-12,"Security, Privacy, and Private Data Handling",execution/_Decomposition/SOFTWARE_DECOMP.md,"DEL-12-04 implements package PKG-12 security, privacy, and private data handling scope.","execution/PKG-12_Security, Privacy, and Private Data Handling/1_Working/DEL-12-04_Secret and private-library handling/Datasheet.md",Datasheet.md / Identification,Package ID | PKG-12,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,EXTRACTED,2026-05-10,2026-05-10,ACTIVE,FACT; parent anchor validated against SOFTWARE_DECOMP.md PKG-12 row.
v3.1,DEL-12-04-A002,PKG-12,DEL-12-04,Secret and private-library handling,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-040,Private data handling controls and redaction/export safeguards,execution/_Decomposition/SOFTWARE_DECOMP.md,DEL-12-04 traces to SOW-040 private data handling controls and redaction/export safeguards.,"execution/PKG-12_Security, Privacy, and Private Data Handling/1_Working/DEL-12-04_Secret and private-library handling/Datasheet.md",Datasheet.md / Identification,"Scope items | SOW-040, SOW-029",EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,EXTRACTED,2026-05-10,2026-05-10,ACTIVE,FACT; trace anchor validated against SOFTWARE_DECOMP.md SOW-040 row.
v3.1,DEL-12-04-A003,PKG-12,DEL-12-04,Secret and private-library handling,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-029,"Local-first protection of private rule packs, libraries, and project models",execution/_Decomposition/SOFTWARE_DECOMP.md,"DEL-12-04 traces to SOW-029 local-first private rule-pack, library, and model protection.","execution/PKG-12_Security, Privacy, and Private Data Handling/1_Working/DEL-12-04_Secret and private-library handling/Datasheet.md",Datasheet.md / Identification,"Scope items | SOW-040, SOW-029",EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,EXTRACTED,2026-05-10,2026-05-10,ACTIVE,FACT; trace anchor validated against SOFTWARE_DECOMP.md SOW-029 row.
v3.1,DEL-12-04-A004,PKG-12,DEL-12-04,Secret and private-library handling,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-010,"Protect private project, code, rule-pack, and component data",execution/_Decomposition/SOFTWARE_DECOMP.md,"DEL-12-04 supports OBJ-010 private project, code, rule-pack, and component data protection.","execution/PKG-12_Security, Privacy, and Private Data Handling/1_Working/DEL-12-04_Secret and private-library handling/_CONTEXT.md",_CONTEXT.md / Objective Support,OBJ-010,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,EXTRACTED,2026-05-10,2026-05-10,ACTIVE,FACT; objective trace validated against SOFTWARE_DECOMP.md objective ledger.
v3.1,DAG-002-E0375,PKG-12,DEL-12-04,Secret and private-library handling,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-00,DEL-00-01,DEL-00-01,Architecture decision record baseline,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-01_Architecture decision record baseline,DEL-12-04 requires SCA-001 architecture basis AB-00-01 from DEL-00-01 before sealed product-development execution.,"execution/PKG-12_Security, Privacy, and Private Data Handling/1_Working/DEL-12-04_Secret and private-library handling/_CONTEXT.md",Architecture Basis Injection / Applicable Basis IDs,Applicable Basis IDs: AB-00-01,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,DECLARED,2026-05-10,2026-05-10,ACTIVE,FACT; preserved from approved DAG-002 mirror and normalized to dependency-extract enums. Original graph type ARCHITECTURE_BASIS; original origin CONTEXT.
v3.1,DAG-002-E0376,PKG-12,DEL-12-04,Secret and private-library handling,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-00,DEL-00-02,DEL-00-02,Repository and module boundary architecture,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-02_Repository and module boundary architecture,DEL-12-04 requires SCA-001 architecture basis AB-00-02 from DEL-00-02 before sealed product-development execution.,"execution/PKG-12_Security, Privacy, and Private Data Handling/1_Working/DEL-12-04_Secret and private-library handling/_CONTEXT.md",Architecture Basis Injection / Applicable Basis IDs,Applicable Basis IDs: AB-00-02,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,DECLARED,2026-05-10,2026-05-10,ACTIVE,FACT; preserved from approved DAG-002 mirror and normalized to dependency-extract enums. Original graph type ARCHITECTURE_BASIS; original origin CONTEXT.
v3.1,DAG-002-E0377,PKG-12,DEL-12-04,Secret and private-library handling,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-00,DEL-00-03,DEL-00-03,Application service command-query-job model,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-03_Application service command-query-job model,DEL-12-04 requires SCA-001 architecture basis AB-00-03 from DEL-00-03 before sealed product-development execution.,"execution/PKG-12_Security, Privacy, and Private Data Handling/1_Working/DEL-12-04_Secret and private-library handling/_CONTEXT.md",Architecture Basis Injection / Applicable Basis IDs,Applicable Basis IDs: AB-00-03,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,DECLARED,2026-05-10,2026-05-10,ACTIVE,FACT; preserved from approved DAG-002 mirror and normalized to dependency-extract enums. Original graph type ARCHITECTURE_BASIS; original origin CONTEXT.
v3.1,DAG-002-E0378,PKG-12,DEL-12-04,Secret and private-library handling,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-00,DEL-00-04,DEL-00-04,Persistence and schema versioning architecture,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-04_Persistence and schema versioning architecture,DEL-12-04 requires SCA-001 architecture basis AB-00-04 from DEL-00-04 before sealed product-development execution.,"execution/PKG-12_Security, Privacy, and Private Data Handling/1_Working/DEL-12-04_Secret and private-library handling/_CONTEXT.md",Architecture Basis Injection / Applicable Basis IDs,Applicable Basis IDs: AB-00-04,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,DECLARED,2026-05-10,2026-05-10,ACTIVE,FACT; preserved from approved DAG-002 mirror and normalized to dependency-extract enums. Original graph type ARCHITECTURE_BASIS; original origin CONTEXT.
v3.1,DAG-002-E0379,PKG-12,DEL-12-04,Secret and private-library handling,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-00,DEL-00-06,DEL-00-06,"Diagnostics, warning, and result-envelope contract","execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-06_Diagnostics, warning, and result-envelope contract",DEL-12-04 requires SCA-001 architecture basis AB-00-06 from DEL-00-06 before sealed product-development execution.,"execution/PKG-12_Security, Privacy, and Private Data Handling/1_Working/DEL-12-04_Secret and private-library handling/_CONTEXT.md",Architecture Basis Injection / Applicable Basis IDs,Applicable Basis IDs: AB-00-06,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,DECLARED,2026-05-10,2026-05-10,ACTIVE,FACT; preserved from approved DAG-002 mirror and normalized to dependency-extract enums. Original graph type ARCHITECTURE_BASIS; original origin CONTEXT.
v3.1,DAG-002-E0380,PKG-12,DEL-12-04,Secret and private-library handling,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-00,DEL-00-07,DEL-00-07,API boundary and adapter contract map,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-07_API boundary and adapter contract map,DEL-12-04 requires SCA-001 architecture basis AB-00-07 from DEL-00-07 before sealed product-development execution.,"execution/PKG-12_Security, Privacy, and Private Data Handling/1_Working/DEL-12-04_Secret and private-library handling/_CONTEXT.md",Architecture Basis Injection / Applicable Basis IDs,Applicable Basis IDs: AB-00-07,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,DECLARED,2026-05-10,2026-05-10,ACTIVE,FACT; preserved from approved DAG-002 mirror and normalized to dependency-extract enums. Original graph type ARCHITECTURE_BASIS; original origin CONTEXT.
