CandidateTerm,Synonyms,Definition,SourceRefs,Notes
AI agent architectures,LLM-based autonomous agents,"Architectures for agents that can reason, plan, use tools, delegate, and collaborate.",@repo/docs/thesis/02_literature_review.md:L7|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0002;@repo/docs/thesis/02_literature_review.md:L19|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0003,
architecturally enforced governance framework,formal governance layer,A governance layer specifying what agents must not do and what evidence they must provide.,@repo/docs/thesis/02_literature_review.md:L7|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0002;@repo/docs/thesis/02_literature_review.md:L57|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0009,
Chain-of-thought prompting,chain of thought,Prompting large language models with intermediate reasoning steps to improve reasoning-task performance.,@repo/docs/thesis/02_literature_review.md:L23|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0004,
ReAct,Reasoning + Acting,An agent paradigm in which a language model interleaves reasoning traces with action calls against tools or environments.,@repo/docs/thesis/02_literature_review.md:L25|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0004,
Toolformer,,"A model trained to decide which APIs to call, when to call them, what arguments to pass, and how to incorporate results.",@repo/docs/thesis/02_literature_review.md:L27|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0004,
TOOLMAKER subsystem,,"Chirality subsystem that provides deterministic, auditable tool implementations.",@repo/docs/thesis/02_literature_review.md:L27|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0004,
AutoGen,conversable agents;conversation programming,A framework for composing LLM applications from autonomous or human-proxy agents communicating through structured message sequences.,@repo/docs/thesis/02_literature_review.md:L31|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0005,
write-scope quarantine,write scope quarantine,A typed boundary separating read-only from write-capable operations.,@repo/docs/thesis/02_literature_review.md:L31|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0005;@repo/docs/thesis/02_literature_review.md:L60|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0009,
MetaGPT,,A multi-agent framework encoding standardized operating procedures into prompt sequences with specialized software-engineering roles.,@repo/docs/thesis/02_literature_review.md:L33|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0005,
invariant contracts,governance invariants,Formally specified runtime-enforced constraints on agent action independent of model weights or prompt content.,@repo/docs/thesis/02_literature_review.md:L33|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0005;@repo/docs/thesis/02_literature_review.md:L59|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0009,
LangGraph,,"A low-level orchestration infrastructure representing agent workflows as directed graphs with state, conditional edges, and persistent memory.",@repo/docs/thesis/02_literature_review.md:L35|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0005,
Generative agents,,"Computational agents built on an LLM core augmented with memory stream, reflection mechanism, and daily planning module.",@repo/docs/thesis/02_literature_review.md:L41|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0006,
Constitutional AI,CAI;RLAIF,A training methodology using a self-critique loop guided by a written constitution and reinforcement learning from AI feedback.,@repo/docs/thesis/02_literature_review.md:L45|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0007;@repo/docs/thesis/02_literature_review.md:L116|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0014,
hierarchical agent architectures,tiered agent authority,Architectures that organize agents into layered authority or mother-child delegation relationships.,@repo/docs/thesis/02_literature_review.md:L47|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0008;@repo/docs/thesis/02_literature_review.md:L49|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0008,
gate-controlled human authority,gate-controlled human approval,A formal mechanism requiring human principal approval for operations above a defined authority threshold.,@repo/docs/thesis/02_literature_review.md:L61|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0009;@repo/docs/thesis/02_literature_review.md:L51|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0008,
epistemic transparency obligations,per-claim transparency,"Structural requirements that output claims carry provenance metadata, confidence class, and derivation path.",@repo/docs/thesis/02_literature_review.md:L62|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0009;@repo/docs/thesis/02_literature_review.md:L143|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0017,
hallucination,,Generated content that is unfaithful to a source document or unsupported by verifiable fact.,@repo/docs/thesis/02_literature_review.md:L100|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0012,
intrinsic hallucination,,Hallucination that contradicts source material.,@repo/docs/thesis/02_literature_review.md:L100|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0012,
extrinsic hallucination,,Hallucination that introduces information absent from the source.,@repo/docs/thesis/02_literature_review.md:L100|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0012,
factuality hallucination,,Hallucination involving claims unsupported by world knowledge.,@repo/docs/thesis/02_literature_review.md:L102|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0012,
faithfulness hallucination,,Hallucination involving claims inconsistent with provided context.,@repo/docs/thesis/02_literature_review.md:L102|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0012,
FActScore,,A fine-grained factuality metric that decomposes long-form model generation into atomic facts and measures source support.,@repo/docs/thesis/02_literature_review.md:L108|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0013,
Reinforcement Learning from Human Feedback,RLHF,"An alignment pipeline using supervised fine-tuning, reward-model training from human preferences, and PPO reinforcement learning.",@repo/docs/thesis/02_literature_review.md:L112|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0014;@repo/docs/thesis/02_literature_review.md:L132|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0017,
Retrieval-Augmented Generation,RAG,A generation architecture grounding outputs in retrieved external documents rather than parametric memory alone.,@repo/docs/thesis/02_literature_review.md:L114|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0014;@repo/docs/thesis/02_literature_review.md:L136|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0017,
confidence calibration,Expected Calibration Error;ECE;temperature scaling,Evaluation and adjustment of whether predicted confidence scores match empirical accuracy rates.,@repo/docs/thesis/02_literature_review.md:L120|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0015,
NIST AI RMF 1.0,AI Risk Management Framework,"A process framework defining trustworthy AI characteristics and Govern, Map, Measure, and Manage functions.",@repo/docs/thesis/02_literature_review.md:L124|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0016,
EU AI Act,Regulation (EU) 2024/1689,A legal framework classifying AI systems by risk tier and imposing transparency and accountability obligations on high-risk systems.,@repo/docs/thesis/02_literature_review.md:L126|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0016,
mandatory provenance attachment,,A requirement that every output claim carry a machine-readable pointer to its source observation or retrieved document.,@repo/docs/thesis/02_literature_review.md:L140|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0017,
no-invention rule,,A runtime-enforced prohibition on generating claims that cannot be traced to a source in the defined retrieval scope.,@repo/docs/thesis/02_literature_review.md:L141|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0017,
epistemic labelling,confidence class,"A typed taxonomy distinguishing directly retrieved fact, inferred conclusion, and uncertain estimate.",@repo/docs/thesis/02_literature_review.md:L142|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0017;@repo/docs/thesis/02_literature_review.md:L120|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0015,
System-Theoretic Accident Model and Processes,STAMP,A safety model treating accidents as results of violated safety constraints caused by inadequate control actions.,@repo/docs/thesis/02_literature_review.md:L186|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0020,
Systems-Theoretic Process Analysis,STPA,A hazard analysis technique deriving safety constraints from control structure rather than failure mode enumeration.,@repo/docs/thesis/02_literature_review.md:L186|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0020,
DO-178C,ED-12C,The aviation software assurance framework defining software levels and lifecycle objectives based on failure-condition severity.,@repo/docs/thesis/02_literature_review.md:L192|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0021,
requirements traceability,formal requirements traceability,A requirement that every software behavior be traceable to a verified requirement and every requirement be satisfied by implementation.,@repo/docs/thesis/02_literature_review.md:L194|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0021,
