CanonicalTerm,Synonyms,Notes
Package,Work package; equipment package; package row,Flat PROJECT_DECOMP partition. Workbook rows are authoritative.
PackageID,PKG-XXX,Derived from workbook ID # where present. Missing workbook IDs remain blockers.
CoA Tracking Number,Tracking number; package number,Workbook tracking reference. Repeated values do not merge packages.
WBS,Facility code; work breakdown,"Workbook WBS value, used for source grouping and DBM objective mapping."
4-25 Deepcut,Deepcut; WBS 01,Design-basis source represented by DBM-Deepcut and many WBS 01 package rows.
3-25 Comp and Liquids,3-25; compression and liquids; WBS 02/03,Design-basis source represented by DBM-Comp_and_Liquids and WBS 02/03 rows.
Process Mechanical Equipment Package,Mechanical package; vendor package,Mechanical package rows that have detailed scope in the package requirements Word document.
Electrical Package,Electrical equipment package; electrical vendor package,Electrical package rows are treated as vendor-owned engineering/design/equipment packages unless later source authority says otherwise.
Package Vendor,Vendor; supplier; equipment vendor,"Entity responsible for engineering, design, vendor documentation, and physical equipment package for each electrical or mechanical package."
EPC Integrator,Main EPC company; central EPC; integration contractor,"Entity responsible for integrating vendor packages into a functional process facility, including interfaces, tie-ins, constructability, procurement/construction coordination, and facility-level integration."
Scope of Work,SOW; package scope of work,"Mandatory EPC Integrator package deliverable that identifies tagged equipment where source-supported, states package function, and explains whole-facility integration."
Package Datasheet,Package data sheet; vendor handoff datasheet,Mandatory EPC Integrator technical handoff deliverable containing the data required for third-party vendor or discipline package engineering and design.
Construction Work Package,CWP; construction package,"Mandatory EPC Integrator package deliverable describing physical installation, construction, tie-ins, inspection, and turnover."
Vendor Document Turnover,Vendor document package; vendor submittal package,Single package-level vendor deliverable that groups source vendor-document rows as artifacts/evidence.
Vendor Engineering Deliverable,Vendor document; document requirement,Word-document deliverable rows carried as artifacts/evidence under Vendor Document Turnover Package deliverables.
Interface Type,Interface column; package interface,"Workbook X columns captured as interface facts, not packages."
DBM,Design Basis Memorandum; design basis,"Integral source for objectives, boundaries, and source context."
TBD,To be determined; unresolved,Allowed when source truth is missing; must be surfaced in OPEN_ISSUES.csv.
